Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
How to Write and Speak Correctly,"In the preparation of this little work the writer has kept one end in view.: To make it serviceable for those for whom it is intended, that is, for those who have neither the time nor the opportunity, the learning nor the inclination, to peruse elaborate and abstruse treatises on Rhetoric, Grammar, and Composition. To them such works are as gold enclosed in chests of steel and locked beyond power of opening. This book has no pretension about it whatever,-it is neither a Manual of Rhetoric, expatiating on the dogmas of style, nor a Grammar full of arbitrary rules and exceptions. It is merely an effort to help ordinary, everyday people to express themselves in ordinary, everyday language, in a proper manner. Some broad rules are laid down, the observance of which will enable the reader to keep within the pale of propriety in oral and written language. Many idiomatic words and expressions, peculiar to the language, have been given, besides which a number of the common mistakes and pitfalls have been placed before the reader so that he may know and avoid them.",['Joseph Devlin'],http://books.google.com/books/content?id=-951DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=-951DwAAQBAJ&printsec=frontcover&dq=How+to+Write+and+Speak+Correctly&hl=&cd=1&source=gbs_api,BoD – Books on Demand,2018-11-01,https://play.google.com/store/books/details?id=-951DwAAQBAJ&source=gbs_api,['Language Arts & Disciplines'],2.0
Mr. Timothy : A Novel (P.S.),"Vidocq! Master of disguise and chief of a newly created plainclothes police force, Vidocq is a man whose name sends terror rippling through the Parisian underworld of 1818—and the inconsequential life of Hector Carpentier is violently shaken when Vidocq storms into it. A former medical student living in his mother's Latin Quarter boardinghouse, Hector finds himself dragged into a dangerous mystery surrounding the fate of the dauphin, the ten-year-old son of King Louis XVI and Marie-Antoinette presumed to have suffered a cruel death years earlier in Paris's dreaded Temple. But the truth of what happened may be even more shocking—and it will fall to an aimless young man and the most feared detective in Paris to see justice done for a frightened little boy in a black tower . . . no matter what the cost.",['Louis Bayard'],http://books.google.com/books/content?id=UDHQuCrxvRYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=UDHQuCrxvRYC&pg=PP1&dq=Mr.+Timothy+:+A+Novel+(P.S.)&hl=&cd=1&source=gbs_api,Harper Collins,2009-10-06,https://play.google.com/store/books/details?id=UDHQuCrxvRYC&source=gbs_api,['Fiction'],29.0
Climbing High: A Woman's Account of Surviving the Everest Tragedy,"On May 10, 1996, Lene Gammelgaard became the first Scandinavian woman to reach the summit of Mount Everest. But a raging storm and human error conspired to turn triumph into catastrophe. Eight of her team's climbers, including its renowned leader Scott Fischer, perished in a tragedy that would make headlines around the world. In her riveting account, Gammelgaard takes us from her weeks of determined training to the exhilaration of arriving in Nepal to the arduous climb and deadly storm that forced her and her fellow climbers to huddle throughout the night, hoping to stay alive. Gammelgaard also writes movingly of Everest's awesome beauty; of the passion and commitment required to face the daunting challenge of climbing to high altitudes; and of the complex personal relationships forged in the pursuit of such dangerous ventures. Arlene Blum, author of the classic account of women and mountaineering, Annapurna: A Woman's Place, calls Climbing High ""an honest and deeply personal account.""","['Lene Gammelgaard', 'Press Seal']",http://books.google.com/books/content?id=OyYET6wHSacC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=OyYET6wHSacC&dq=Climbing+High:+A+Woman%27s+Account+of+Surviving+the+Everest+Tragedy&hl=&cd=1&source=gbs_api,Harper Collins,2000-06-20,http://books.google.nl/books?id=OyYET6wHSacC&dq=Climbing+High:+A+Woman%27s+Account+of+Surviving+the+Everest+Tragedy&hl=&source=gbs_api,['Sports & Recreation'],4.0
Herland,"When their plane crashes in the jungles of South America, the explorers find a hidden civilization that it more advance than their own. The look for the male leaders of the society and discover a utopian all-woman civilization. Herland is a novel by Charlotte Perkins Gillman, the feminist author perhaps best known for her short story, The Yellow Wallpaper. In Herland, Charlotte Perkins Gillman is able to explore her ideas about gender, motherhood, community and sexuality in a science-fiction story that transcended the boundaries of late 19th century society. This Xist Classics edition has been professionally formatted for e-readers with a linked table of contents. This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t wait to hear what you have to say about it. Xist Publishing is a digital-first publisher. Xist Publishing creates books for the touchscreen generation and is dedicated to helping everyone develop a lifetime love of reading, no matter what form it takes",['Charlotte Perkins Gilman'],http://books.google.com/books/content?id=780mCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=780mCwAAQBAJ&printsec=frontcover&dq=Herland&hl=&cd=1&source=gbs_api,Xist Publishing,2015-04-20,https://play.google.com/store/books/details?id=780mCwAAQBAJ&source=gbs_api,['Fiction'],1.0
Spiritual Disciplines for the Christian Life (Pilgrimage Growth Guide),"Drawn from a rich heritage, Spiritual Disciplines for the Christian Life will guide you through a carefully selected array of disciplines, including: Scripture reading Prayer Worship Scripture meditation Evangelism Serving Stewardship of time and money Scripture application Fasting Silence and solitude Journaling Learning By illustrating why the disciplines are important, showing how each one will help you grow in godliness, and offering practical suggestions for cultivating them, Spiritual Disciplines for the Christian Life will provide you with a refreshing opportunity to become more like Christ and grow in character and maturity.",['Donald S. Whitney'],http://books.google.com/books/content?id=4pPRmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=4pPRmAEACAAJ&dq=Spiritual+Disciplines+for+the+Christian+Life+(Pilgrimage+Growth+Guide)&hl=&cd=1&source=gbs_api,NavPress Publishing Group,1991-06,http://books.google.nl/books?id=4pPRmAEACAAJ&dq=Spiritual+Disciplines+for+the+Christian+Life+(Pilgrimage+Growth+Guide)&hl=&source=gbs_api,['Religion'],35.0
The Gregg Reference Manual,"The Gregg Reference Manual is intended for anyone who writes, edits, or prepares material for distribution or publication. For over fifty years this manual has been recognized as the best style manual for business professionals and for students who want to master the on-the-job standards of business professionals. Features of the New Edition The eleventh edition of The Gregg Reference Manual has been revised and enhanced to satisfy the continually evolving demands of business and academic writers. In addition, this special four-color edition of GRM pays tribute to the author Bill Sabin with personal photographs and a new biographical essay. Other Components of the Eleventh Edition A number of supplementary components are available online for trainers, instructors and students including: Basic Worksheets Comprehensive Worksheets Trainer’s Resource Manual Instructor’s Resource Manual Visit The Gregg Reference Manual Resource Center www.mhhe.com/grm11",['William Sabin'],http://books.google.com/books/content?id=QWqmQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=QWqmQAAACAAJ&dq=The+Gregg+Reference+Manual&hl=&cd=1&source=gbs_api,McGraw-Hill Education,2010-03-01,http://books.google.nl/books?id=QWqmQAAACAAJ&dq=The+Gregg+Reference+Manual&hl=&source=gbs_api,['Language Arts & Disciplines'],3.0
When All Hell Breaks Loose,"Describes the skills and supplies that individuals and families need to prepare for possible emergencies, and offers survival tips and advice related to shelter, water, food, first-aid, and self-defense.","['Cody Lundin', 'Russell Miller']",http://books.google.com/books/content?id=RB6IrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=RB6IrgEACAAJ&dq=When+All+Hell+Breaks+Loose&hl=&cd=1&source=gbs_api,Gibbs Smith Publishers,2007,http://books.google.nl/books?id=RB6IrgEACAAJ&dq=When+All+Hell+Breaks+Loose&hl=&source=gbs_api,['Health & Fitness'],4.0
The Pie and Pastry Bible,"The Pie and Pastry Bible is your magic wand for baking the pies, tarts, and pastries of your dreams—the definitive work by the country's top baker. -More than 300 recipes, 200 drawings of techniques and equipment, and 70 color pictures of finished pies, tarts, and pastries -Easy-to-follow recipes for fruit pies, chiffon pies, custard pies, ice-cream pies, meringue pies, chocolate pies, tarts and tartlets, turnovers, dumplings, biscuits, scones, crostadas, galettes, strudel, fillo, puff pastry, croissants (chocolate, too), Danish, brioche, sticky buns, cream puffs, and profiteroles -All kinds of fillings, glazes, toppings, and sauces, including pastry cream, frangipane, Chiboust, fruit curds, ice creams, fondant, fruit preserves, streusel, meringues, ganache, caramel, and hot fudge -A separate chapter featuring foolproof flaky, tender, and original crusts of every kind imaginable. Here are a few: Flaky Cream Cheese Pie Crust, Flaky Cheddar Cheese Pie Crust, Miracle Flaky Lard Pie Crust, and Flaky Goose Fat Pie Crust; Bittersweet Chocolate, Coconut, Ginger, and Sweet Nut Cookie Crusts; and Vanilla, Gingersnap, Chocolate, and Graham Cracker Crumb Crusts -Countless tips that solve any problem, including the secrets to making a juicy fruit pie with a crisp bottom crust and a lemon meringue pie that doesn't weep -How to make a tender and flaky pie crust in under three minutes -How to make the best brownie ever into a crustless tart with puddles of ganache -Exciting savory recipes, including meat loaf wrapped in a flaky Cheddar cheese crust and a roasted poblano quiche -Extensive decorating techniques for the beginning baker and professional alike that show you how to make chocolate curls, pipe rosettes, crystallize flowers and leaves, and more -Detailed information on ingredients and equipment, previously available only to professionals -The wedding cake reconceived as a Seven-Tier Chocolate Peanut Butter Mousse Tart -Pointers for Success follow the recipes, guaranteeing perfect results every time",['Rose Levy Beranbaum'],http://books.google.com/books/content?id=r3eOI2Nz9PcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=r3eOI2Nz9PcC&dq=The+Pie+and+Pastry+Bible&hl=&cd=1&source=gbs_api,Simon and Schuster,2009-12-01,https://play.google.com/store/books/details?id=r3eOI2Nz9PcC&source=gbs_api,['Cooking'],4.0
Catholic and Christian: An Explanation of Commonly Misunderstood Catholic Beliefs,"New Revised 20th Anniversary Edition! You’re on the spot. Someone wants you to explain some aspect of Catholic belief. Do you really think the pope is infallible? Why do Catholics pray to Mary? Where do sacraments come from? What do you think of the Bible? Are you saved? You wish some well-informed Catholic friend were around to help with the answer. Or perhaps you are asking the questions yourself. Where do Catholic beliefs come from? Why do we pray for the dead? How does the rosary fit into a biblical faith? The best-selling Catholic and Christian provides the answers you need. It is a readable and concise summary of commonly misunderstood Catholic beliefs—the teachings and practices that don’t get much attention in Sunday homilies and in religious education, but which puzzle Catholics and non-Catholics alike. This is a book for all Catholics who want to know more about their faith. A Servant Book.",['Alan Schreck'],http://books.google.com/books/content?id=P8FiAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=P8FiAAAACAAJ&dq=Catholic+and+Christian:+An+Explanation+of+Commonly+Misunderstood+Catholic+Beliefs&hl=&cd=1&source=gbs_api,Servant Publications,2004,http://books.google.nl/books?id=P8FiAAAACAAJ&dq=Catholic+and+Christian:+An+Explanation+of+Commonly+Misunderstood+Catholic+Beliefs&hl=&source=gbs_api,['Religion'],3.0
"The Paradise War (The Song of Albion trilogy, Book 1)","From the dreaming spires of Oxford, graduate student Lewis Gillies and his impulsive roommate, Simon, drive north to seek a mythical creature in a misty glen in Scotland. Once there, Simon vanishes through a hole in the cairn, and Lewis follows him to a mystical place where two worlds meet, in the time-between-times. There, where Celtic champions, magic, and treachery weave the beautiful and brutal land called Albion, Lewis finds Simon. And there, schooled as a warrior, he is thrust to the front of a titanic struggle between light and darkness--a hideous, onrushing darkness that would devour not merely a kingdom but two worlds. The ancient Celts admitted no separation between this world and the Otherworld: the two were delicately interwoven, each dependent on the other. The Paradise War crosses the thin places between this world and that, as Lewis Gillies comes face-to-face with an ancient mystery--and a cosmic catastrophe in the making.",['Steve Lawhead'],http://books.google.com/books/content?id=PrCfPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=PrCfPwAACAAJ&dq=The+Paradise+War+(The+Song+of+Albion+trilogy,+Book+1)&hl=&cd=1&source=gbs_api",Lion Books,2002-02-01,"http://books.google.nl/books?id=PrCfPwAACAAJ&dq=The+Paradise+War+(The+Song+of+Albion+trilogy,+Book+1)&hl=&source=gbs_api",['Fiction'],20.0
The Four Agreements Companion Book : Using the Four Agreements to Master the Dream of Your Life,"The Four Agreements Companion Book takes you further along the journey to recover the awareness and wisdom of your authentic self. This book offers additional insights, practice ideas, a dialogue with don Miguel about applying The Four Agreements, and true stories from people who have transformed their lives.","['Don Miguel Ruiz', 'Janet Mills']",http://books.google.com/books/content?id=eHDcNdd-OTEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=eHDcNdd-OTEC&printsec=frontcover&dq=The+Four+Agreements+Companion+Book+:+Using+the+Four+Agreements+to+Master+the+Dream+of+Your+Life&hl=&cd=1&source=gbs_api,Amber-Allen Publishing,2010-03-18,https://play.google.com/store/books/details?id=eHDcNdd-OTEC&source=gbs_api,['Self-Help'],1.0
