User_id,Test_Books,Recommended,Category_Precision,Category_Recall,F1,Hit
AUHG8KSHI529U,"atomic iran: how the terrorist regime bought the bomb and american politicians; the truth about hillary (clinton): what she knew, when she knew it, and how far she'll go to become president","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A1E2NA2F4RTQ9B,"talk to the hand: the utter bloody rudeness of the world today, or six good reasons to stay home and bolt the door; after the quake: stories","kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.725
A3B48AN8JID1JK,when he was wicked (bridgerton family series); master of desire,"great expectations; seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A395QKQZ15GP4F,september; beggars in spain,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A15IK0978DBL14,great expectations; the lost world,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A21X0EO0R0T6FT,carpe jugulum; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A1I2O9Y3X3HXLS,ringworld's children; march to the stars (prince roger series #3),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A1796BFN7L774T,"the sea wolf; acid dreams: the complete social history of lsd: the cia, the sixties, and beyond","kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",0.5,0.25,0.3333333333333333,1,0.6899659863945579
A5GYYHY2KI5CI,shoulder the sky (world war one series); angels in the gloom (world war one series),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.7726190476190476
A3GA09FYFKL4EY,"talk to the hand: the utter bloody rudeness of the world today, or six good reasons to stay home and bolt the door; the truth about hillary (clinton): what she knew, when she knew it, and how far she'll go to become president","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A13E0ARAXI6KJW,"talk to the hand: the utter bloody rudeness of the world today, or six good reasons to stay home and bolt the door; left to tell: discovering god amidst the rwandan holocaust","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A18PCOAE02O3SC,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; memory in death (in death #22); the good german",1.0,0.25,0.4,1,0.725
A18YMFFJW974QS,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A126YLPKFPNQDS,"awaken me darkly (alien huntress, book 1); midnighters #1: the secret hour","great expectations; kiss of the night (dark-hunter, book 5); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",0.5,0.3333333333333333,0.4,1,0.8552579365079365
ADLN37B0153N,"devlin's luck (sword of change, book 1); the renegades of pern (dragonriders of pern series)","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A27BY97QQS36V3,riptide (fbi thriller); amanda's wedding,"great expectations; kiss of the night (dark-hunter, book 5); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.3333333333333333,0.5,1,0.8951388888888888
A1CTXKA2C7BSC8,"awaken me darkly (alien huntress, book 1); when he was wicked (bridgerton family series)","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.7726190476190476
A1G9FX1KV45N41,six days of war: june 1967 and the making of the modern middle east; citizens: a chronicle of the french revolution,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A2Y0RQNQHT5MZ8,the renegades of pern (dragonriders of pern series); dragon's kin (dragonriders of pern series),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
AU6DIIDZK2OQM,"sloppy firsts (jessica darling, book 1); treasure island","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; memory in death (in death #22); the good german; a hunger like no other (immortals after dark, book 1)",1.0,0.3333333333333333,0.5,1,0.8388888888888888
A16QODENBJVUI1,"the worldly philosophers: the lives, times and ideas of the great economic thinkers, seventh edition; sin city volume 1: the hard goodbye (3rd edition)","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.0,0.0,0.0,0,0.0
A4R8GJX3UZ1I,wish you were here: a novel; the year of jubilo: a novel of the civil war,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A1BI8PUEHA5CHW,"tending roses (tending roses series, book 1); blue like jazz: nonreligious thoughts on christian spirituality","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; memory in death (in death #22); the good german",0.5,0.3333333333333333,0.4,1,0.8388888888888888
A1JLEHQDIBJM2Z,great expectations; the innocents abroad,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A1K1JW1C5CUSUZ,44 scotland street; 44 scotland street,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); chesapeake blue (chesapeake bay series); second sight (the arcane society, book 1); jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.0,0.0,0.0,0,0.0
AIEEK7AHXKZCC,"and never let her go: thomas capano, the deadly seducer; nightshade","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A2XA6MEIKHNJ17,when he was wicked (bridgerton family series); master of desire,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
AEMZRE6QYVQBS,great expectations; six days of war: june 1967 and the making of the modern middle east,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.725
A3D7L0R1281COX,"sync: the emerging science of spontaneous order; the worldly philosophers: the lives, times and ideas of the great economic thinkers, seventh edition","kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",0.0,0.0,0.0,0,0.0
A37XGUQ1VH0XM6,the sea wolf; sin city volume 1: the hard goodbye (3rd edition),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.7726190476190476
A2BS90J8VELL7D,"eldest (inheritance, book 2); great expectations","kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.725
A1G37DFO8MQW0M,dubliners (dover large print classics); the innocents abroad,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german; the scarlet pimpernel; a hunger like no other (immortals after dark, book 1)",1.0,0.5,0.6666666666666666,1,0.8412257495590829
A3KOO6L0NA2PJA,september; key of valor (key trilogy),"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
A28WJUJF6D2ULA,"dubliners (dover large print classics); the truth about hillary (clinton): what she knew, when she knew it, and how far she'll go to become president","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.5,0.25,0.3333333333333333,1,0.804421768707483
A2QGB7KXWF859E,visions in death (in death #19); sea swept (chesapeake bay series),"great expectations; second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); the good german; treasure island",1.0,0.3333333333333333,0.5,1,0.8552579365079365
AYZN94ZQWIA4F,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",1.0,0.3333333333333333,0.5,1,0.7823412698412698
AUM3YMZ0YRJE0,good to great; citizens: a chronicle of the french revolution,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A680RUE1FDO8B,"if it's not close, they can't cheat: crushing the democrats in every election and why your life depends on it; the art of intrusion: the real stories behind the exploits of hackers, intruders & deceivers","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",0.0,0.0,0.0,0,0.0
A30AO422P01XK0,the sea wolf; trauma and recovery: the aftermath of violence--from domestic abuse to political terror,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german",0.5,0.25,0.3333333333333333,1,0.6899659863945579
AK7D1BHZOSOL1,"sharpe's prey: richard sharpe & the expedition to denmark, 1807; the year of jubilo: a novel of the civil war","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
AST8AAKSJKAQ1,great expectations; blue like jazz: nonreligious thoughts on christian spirituality,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.25,0.3333333333333333,1,0.725
AQCQ5F0OJXMG9,"eldest (inheritance, book 2); iron fist (star wars: x-wing series, book 6)","great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.5,0.3333333333333333,0.4,1,0.8388888888888888
A3AKWA5CWSKOOH,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A1IPM23IJ8Q3L4,time enough for love: the lives of lazarus long (part 1 of 2 parts)(library edition); the awakening,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.7916666666666667
A36WD8GXQ5QCJ7,great expectations; great expectations,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",1.0,0.25,0.4,1,0.725
A3M174IC0VXOS2,the scorpion's gate (center point platinum mystery (large print)); full speed,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); the sea wolf; the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); the good german; treasure island",1.0,0.3333333333333333,0.5,1,0.8240079365079365
A1T17LMQABMBN5,zane's gettin' buck wild: sex chronicles ii; amanda's wedding,"kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22); the good german; treasure island",1.0,0.3333333333333333,0.5,1,0.7656746031746031
AJDYDG7YZY9QL,dirt music: library edition; the innocents abroad,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); second sight (the arcane society, book 1); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection)",1.0,0.25,0.4,1,0.804421768707483
AFVQZQ8PW0L,the summerhouse; the scorpion's gate (center point platinum mystery (large print)),great expectations; the sea wolf; jane eyre (new windmill); hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); the good german; the secret agent; the scarlet pimpernel; treasure island,1.0,0.3333333333333333,0.5,1,0.7885912698412698
A3TGZMZMZG84A8,falling awake; falling awake,"great expectations; kiss of the night (dark-hunter, book 5); seize the night (dark-hunter, book 7); the sea wolf; jane eyre (new windmill); the awakening; hamlet; silas marner; a lesson before dying (library edition audio cds) (audio theatre collection); memory in death (in death #22)",0.0,0.0,0.0,0,0.0
